id;topicID;contentid;videolink;videoupload;showvideo;name;description;first;second
6083d914;;af20d632;https://www.youtube.com/shorts/T3dp_uQ7b3M;;;How it work V.23_Maglev;;Yes;
44570961;;7afce43c;https://www.youtube.com/shorts/QXFqerXfmuY;;;V.35_Zeppelin WWI;;Yes;
b55e47f9;;7afce43c;https://youtu.be/Lu4YM15yVDw;;;V.94_Zeppelin how it work;;;Yes
31b4f115;;0fc726a7;https://www.youtube.com/shorts/q31qRVk1VE4;;;V.98_Suspension railway;;Yes;
d4a2dcbf;;0fc726a7;https://www.youtube.com/shorts/qwQTAAmt7ks;;;V.40_Suspension railway;;;Yes
1ca056c6;;7cbe78fb;https://www.youtube.com/shorts/4e0gmTLjnKY;;;V.86_Ground-effect vehicle;;Yes;
d7d319fc;;7cbe78fb;https://www.youtube.com/shorts/YTewdi7GpSA;;;V.13_Ground-effect vehicle;;;Yes
e7ac9cb7;;d10bdb68;https://www.youtube.com/shorts/WvkPCDFw2b8;;;V.70_Supersonic transport;;Yes;
04ca1208;;541cc136;https://www.youtube.com/shorts/1Tw1WtairlA;;;V.78_Nuclear propulsion;;Yes;
a34883f0;;17deef06;https://www.youtube.com/shorts/U2vkcBQsAp4;;;V.90_Hyperloop;;Yes;
eecf670f;;17deef06;https://www.youtube.com/shorts/QzgXxxyE6OY;;;V.83_Hyperloop;;;Yes
fbde4413;;33e2ddfc;https://youtu.be/SRt1KOP9a2g;;;V.60_Hydrogen vehicle what is it?;;Yes;
dde0a26d;;33e2ddfc;https://www.youtube.com/shorts/V_1n5oGpCoA;;;V.88_Hydrogen vehicle;;;Yes
b35b78c8;;6cea5bad;https://www.youtube.com/shorts/cTd0M5NlEck;;;V.10_Mecha;;Yes;
b50f6384;;1d35c5bc;https://www.youtube.com/watch?v=KLOcj5qvOio;;;V.84_Metaverse;;Yes;
83f267de;;1d35c5bc;https://www.youtube.com/shorts/s_5C80Oh36M;;;V.54_Metaverse;;;Yes
91a4bfe4;;c7ded1e7;https://www.youtube.com/shorts/iF6BrjLWry8;;;V.11_Rocket mail;;;Yes
0e4d5fa3;;c7ded1e7;https://www.youtube.com/shorts/XiOZbzwLs1U;;;V.27_Rocket mail;;Yes;
592a0639;;7afdb2b1;https://www.youtube.com/watch?v=n4RjJKxsamQ;;;V.99_Scorpions | “Wind of Change” (1990);;No;Yes
b65cafdc;;7afdb2b1;https://www.youtube.com/shorts/N-cUE9t-rr0;;;V.35_Scorpions | “Wind of Change” (1990);;Yes;
3f7299eb;;d7ecd7f7;https://youtu.be/2rlQqWbp7rY;;;V.61_Jesus Jones | “Right Here, Right Now” (1991);;Yes;
19423d06;;6093b6e9;https://youtu.be/BWf-eARnf6U;;;V.25_Michael Jackson | “Heal the World” (1991);;Yes;
36a98f63;;64feb0be;https://youtu.be/tMYtFe8adKA;;;V.53_Michael Crawford | “Counting Up to Twenty” (1995);;Yes;
ed00ff80;;04b25a6d;https://youtu.be/VT_GG7q3vhs;;;V.44_Will Smith | “Will 2K” (1999);;Yes;
149c989f;;475ff18e;https://www.youtube.com/shorts/YuT7vAdRWaY;;;V.15_What is the new Age movement;;Yes;
09df17b0;;475ff18e;https://youtu.be/FQRWHyaWu5s;;;V.22_What is the new Age movement;;;Yes
63aef0dc;;cd781f90;https://www.youtube.com/watch?v=TQtEFdyhgdE;;;V.36_Alice Coltrane | “Journey In Satchidananda” (1971);;Yes;
c39312fb;;cd781f90;https://www.youtube.com/shorts/ntnWPuWY91o;;;V.54_Alice Coltrane | “Journey In Satchidananda” (1971);;;Yes
6a012646;;5daeac95;https://youtu.be/RiHAUEJ0EQw;;;V.27_Vangelis | “To the Unknown Man” (1977);;No;Yes
84b458bc;;5daeac95;https://www.youtube.com/shorts/diS9vKb7YXY;;;V.87_Vangelis | “To the Unknown Man” (1977);;Yes;No
68e5806a;;272f1590;https://www.youtube.com/shorts/4SFylttYp2M;;;V.32_Kitaro | “Theme From Silk Road” (1980);;Yes;
aedfaca1;;272f1590;https://www.youtube.com/shorts/QXeNMAumaBY;;;V.56_Kitaro | “Theme From Silk Road” (1980);;;Yes
ee54c79a;;d18a91e3;https://www.youtube.com/watch?v=Jl8iYAo90pE;;;V.20_Enya | “Caribbean Blue” (1991);;Yes;
